[2025-11-04 14:55:20] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-04 15:08:09] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-04 15:08:14] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-04 15:08:45] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-04 15:12:04] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-04 15:12:29] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-04 15:12:54] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-04 15:14:04] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-04 15:14:14] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-04 15:14:39] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-04 15:14:44] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-04 15:14:49] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-04 15:15:09] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-04 15:15:29] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-04 15:15:59] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-04 15:16:09] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-04 15:16:34] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-04 15:16:49] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-04 15:17:28] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-04 15:17:29] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-04 15:17:44] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-04 15:17:54] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-04 15:18:24] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-04 15:18:29] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-04 15:18:34] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-04 15:18:39] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-04 15:18:44] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-04 15:19:05] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-04 15:19:25] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-04 15:22:20] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-04 15:22:35] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-04 15:22:50] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-04 15:33:28] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-04 15:33:28] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-04 15:35:28] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-04 15:36:28] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-04 15:39:28] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-04 15:44:28] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-04 15:45:28] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-05 15:15:32] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-05 15:15:57] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-05 15:17:07] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-05 15:17:22] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-05 15:18:13] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-05 15:18:28] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-05 15:18:38] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-05 15:34:19] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-05 15:41:59] ⚠️ Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-05 15:42:51] ⚠️ Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-05 15:42:56] ⚠️ Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-05 15:43:02] ⚠️ Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-05 15:43:27] ⚠️ Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-05 15:43:32] ⚠️ Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-05 15:43:37] ⚠️ Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-05 15:43:42] ⚠️ Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-05 15:44:21] ⚠️ Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-05 15:44:32] ⚠️ Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-05 15:44:37] ⚠️ Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-05 15:45:19] ⚠️ Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-05 15:48:19] ⚠️ Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-05 15:48:19] ⚠️ Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-05 15:51:21] ⚠️ Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-05 15:51:26] ⚠️ Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-05 15:51:31] ⚠️ Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-05 15:52:06] ⚠️ Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-05 15:52:31] ⚠️ Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-05 21:17:17] ⚠️ Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-05 21:17:57] ⚠️ Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-05 21:24:26] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-05 21:24:46] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-05 21:24:51] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-05 21:25:16] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-05 21:26:26] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-05 21:26:36] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-05 21:26:46] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-05 21:26:56] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-05 21:27:06] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-05 21:27:11] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-05 21:27:26] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-05 21:27:31] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-05 21:27:36] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-05 21:27:46] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-05 21:27:56] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-05 21:28:06] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-05 21:28:56] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-05 21:29:09] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-06 19:41:23] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-06 19:41:38] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-06 19:41:59] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-06 19:42:14] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-06 19:42:19] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-06 19:42:24] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-06 19:42:29] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-06 19:42:33] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-06 19:42:44] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-06 19:43:19] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-06 19:43:29] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-06 19:43:44] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-06 19:46:17] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-06 19:46:23] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-06 19:46:28] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-06 19:46:54] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-06 19:47:04] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-06 19:47:14] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-06 19:47:19] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-06 19:47:24] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-06 19:47:28] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-06 19:47:38] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-06 19:47:49] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-06 19:47:59] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-06 19:48:24] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-06 19:48:34] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-06 19:55:46] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-06 19:55:50] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-06 19:56:11] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-06 19:56:16] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-06 19:56:31] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-06 20:29:29] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-06 20:30:39] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-06 20:30:53] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-06 20:31:13] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-06 20:31:38] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-06 20:31:48] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-06 20:32:51] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-06 20:33:51] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-06 20:34:51] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-07 17:24:09] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-07 17:24:19] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-07 17:25:46] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
